Career Cluster,Career Pathway,Code,Occupation
Finance,Accounting,13-2011.01,Accountants
Finance,Insurance,15-2011.00,Actuaries
Manufacturing,Production,51-9191.00,Adhesive Bonding Machine Operators and Tenders
Education & Training,Teaching/Training,25-3011.00,Adult Basic and Secondary Education and Literacy Teachers and Instructors
Marketing,Marketing Management,11-2011.00,Advertising and Promotions Managers
Marketing,Professional Sales,41-3011.00,Advertising Sales Agents
"Science, Technology, Engineering & Mathematics",Engineering and Technology,17-2011.00,Aerospace Engineers
"Agriculture, Food & Natural Resources","Power, Structural & Technical Systems",17-2021.00,Agricultural Engineers
"Transportation, Distribution & Logistics","Transportation Systems/Infrastructure Planning, Management and Regulation",53-2021.00,Air Traffic Controllers
"Transportation, Distribution & Logistics",Facility and Mobile Equipment Maintenance,49-3011.00,Aircraft Mechanics and Service Technicians
"Transportation, Distribution & Logistics","Transportation Systems/Infrastructure Planning, Management and Regulation",53-2022.00,Airfield Operations Specialists
Hospitality & Tourism,"Recreation, Amusements & Attractions",39-3091.00,Amusement and Recreation Attendants
Hospitality & Tourism,"Recreation, Amusements & Attractions",39-2011.00,Animal Trainers
"Science, Technology, Engineering & Mathematics",Science and Mathematics,19-3091.01,Anthropologists
Government & Public Administration,Revenue and Taxation,13-2021.02,"Appraisers, Real Estate"
Architecture & Construction,Design/Pre-Construction,17-1011.00,"Architects, Except Landscape and Naval"
"Arts, Audio/Video Technology & Communications",Visual Arts,27-1011.00,Art Directors
"Transportation, Distribution & Logistics",Facility and Mobile Equipment Maintenance,49-3021.00,Automotive Body and Related Repairers
Hospitality & Tourism,Restaurants and Food/Beverage Services,51-3011.00,Bakers
Health Science,Biotechnology Research and Development,17-2031.00,Biomedical Engineers
Business Management & Administration,Administrative Support,43-3031.00,"Bookkeeping, Accounting, and Auditing Clerks"
Finance,Securities & Investments,43-4011.00,Brokerage Clerks
Information Technology,Information Support and Services,15-1199.08,Business Intelligence Analysts
Business Management & Administration,Operations Management,13-1199.00,"Business Operations Specialists, All Other"
Health Science,Diagnostic Services,29-2031.00,Cardiovascular Technologists and Technicians
